BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
07-127994,Communauté de Communes du Kochersberg,None,"M. Vogel Justin, Président",,,"Le Trèfle, Maison des Services du Kochersberg32 rue des Romains",67370,Truchtersheim,,03-88-69-76-29,,,com.com@kochersberg.fr,,http://www.marches-securises.fr,,,,,False,False,,False,False
17-23813,Créteil-Habitat-SEMIC,None,,M le Directeur Général,FR107,"7, rue des Ecoles",94048,Créteil,,,,,service.marche@creteil-habitat.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,http://www.creteil-habitat-marches.com,http://www.creteil-habitat-marches.com,,False,True,,False,True
17-31705,COMMUNE DE MONTICELLO,None,joseph mattei,,,lieu dit Chiosella,20220,Monticello,,04-95-60-05-71,,04-95-60-17-77,mairie-de-monticello@wanadoo.fr,,,,,,,False,False,,False,False
18-55590,CCIT de l'Ardèche,None,Bourne Thierry,,,140 Chemin Saint Clair,07000,Privas,,04-75-88-07-07,,,thierry.bourne@ardeche.cci.fr,http://www.ardeche.cci.fr,http://www.marches.publics.gouv.fr,,,,,False,False,,False,False
18-78695,CNRS,None,MOUSSET Séverine,,,"3E, Avenue de la Recherche Scientifique",45071,ORLEANS CEDEX 2,,02-38-25-52-00,7814,02-38-69-70-31,severine.mousset@dr8.cnrs.fr,http://www.cnrs.dr8.cnrs.fr,,,,,,False,False,,False,False
19-102527,Conseil Départemental des Vosges,None,Madame Claudine OZENNE,,,8 rue de la Préfecture,88088,Epinal Cedex 09,,03-29-29-88-88,2-8462,,commandepublique@vosges.fr,http://www.vosges.fr,https://www.xmarches.fr,,,,,False,False,,False,False
19-109490,C.C de la Grande Vallée de la Marne,COMMUNAUTE DE COMMUNES DE LA GRANDE VALLEE DE LA M,,,FR,Place Henri Martin,51160,AY CHAMPAGNE,,(+33) 3-26-56-95-20,,,info@ccgvm.com,http://www.ccgvm.com,http://www.xmarches.fr/entreprise/,,,,,False,True,,False,True
19-109992,Métropole de Lyon,None,,M.Président de la Métropole de Lyon,FRK26,"Délégation générale aux RessourcesDirection du Patrimoine et des Moyens GénérauxUnité Procédure, achats, marchés20 rue du LacCS 33569",69505,Lyon Cedex 03,,(+33) 4-78-63-40-40,,(+33) 4-26-99-30-45,dpmg.marches@grandlyon.com,http://www.grandlyon.com,http://marchespublics.grandlyon.com,,,,,False,True,,False,True
19-110063,COMMUNAUTE COMMUNES HUISNE SARTHOISE,247200686,,Nathalie GILLET,FRG04,25 rue Jean Courtois - BP 50061,72403,LA FERTE BERNARD,,(+33) 2-43-60-72-71,,,direction@huisne-sarthoise.com,http://www.sarthemarchespublics.fr,http://www.sarthemarchespublics.fr,,,,,False,True,,False,True
19-110914,MINARM/TERRE/SIMMT,None,Monsieur le sous-directeur des contrats,SACS Armand MBOUMBA MENGA,,établissement Ingénieur Général JAYAT - cs 30704,78013,Versailles,,(+33) 1-39-67-45-72,,,armand.m-boumba-menga@intradef.gouv.fr,,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,,,False,False,,False,False
19-114272,CHU de Martinique,None,,Département Achats,FRY2,CS 90632 - Département Achats,97261,Fort-de-France Cedex,,(+33) 5-96-55-20-23,,(+33) 5-96-75-72-99,jean-philippe.valentin@chu-martinique.fr,http://www.chu-martinique.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
19-119912,SDIS de l'Isère,None,M. le président du conseil d'administration,,,24 rue René Camphin,38600,Fontaine,,04-76-26-89-73,,04-76-26-88-93,gaf.marche.tous@sdis38.fr,https://sdis38.fr,https://sdis38.achatpublic.com,,,,,False,False,,False,False
19-120855,DSNA,None,Marie-José BONNET,,,1 avenue du docteur Maurice GrynfogelCS 53584,31035,Toulouse Cedex 1,,,,,,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
19-124052,Syndicat Mixte du Lac des Sapins,None,Olivier MAIRE,,,le Bancillon,69550,cublize,,,,,,,http://www.marches-publics.info,,,,,False,False,,False,False
19-124811,MINARM/DGA/DO/S2A,FR 34 152 000 469,"division achat, Ministère des armées",Acheteur négociateur,,Ministère des Armées - Direction Générale de l'armement- Direction des opérations - Service des achats d'armement/ division achats Bruz (MINARM/DGA/DO/S2A/PROD/DA-BZ)Boite Postale 7,35098,Rennes cedex 9,,,,,dga-do-s2a.achats-bruz.fct@intradef.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,,,False,False,,False,False
19-125455,Ville de Paris,None,,,FR101,Direction des Finances et des Achats - Sous-direction des Achats CSP 2 - 7 avenue de la Porte d'Ivry,75013,Paris,,,,,dfa-bm2@paris.fr,http://www.paris.fr,https://marches.maximilien.fr/,,,,,False,True,,False,True
19-128129,REGION GRAND EST,None,Direction de l'Achat Public,,,1 Place Adrien Zeller,67070,Strasbourg,,,,,marches.strasbourg@grandest.fr,https://grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
19-128248,Centre Hospitalier de Cahors,None,,"à l'attention de M.le Directeur, mandataire du GCS Achats en Santé Occitanie-GCS ASO",FRJ25,52 place Bergon BP 50269,46005,Cahors,,(+33) 5-65-20-84-78,,(+33) 5-65-20-50-96,achats.pds@ch-cahors.fr,http://www.ch-cahors.fr/etablissement/marches-publics,http://www.achatpublic.com,,http://www.achatpublic.com,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2020_jAwV0nQNH0&amp;v=1&amp;selected=0,http://www.heliosweb.eu,True,False,,False,True
19-130881,Communauté d'Agglomération du Cotentin,None,,,FRD12,8 rue des Vindits,50130,Cherbourg-en-Cotentin,,,,,marches-publics@lecotentin.fr,https://marches-publics-manche.fr,https://marches-publics-manche.fr,,,,,False,True,,False,True
19-135014,Ville d'Hazebrouck,None,,Pôle Achats et Marchés Publics,FRE11,Mairie - B.P. 70189 rue André Biébuyck,59524,HAZEBROUCK CEDEX,,(+33) 3-28-43-44-40,,,marchespublicsctm@ville-hazebrouck.fr,https://ww.ville-hazebrouck.fr,http://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
19-153813,Ville de Dax,None,"Mme BONJEAN Elisabeth, Maire de Dax",,,rue Saint Pierre BP 50344,40107,Dax cedex,,05-47-55-80-11,,,commande.publique@grand-dax.fr,http://www.dax.fr,https://marchespublics.landespublic.org,,,,,False,False,,False,False
19-142572,DSNA,None,S. Rospide,,,"M. le directeur de la DTI, 1 avenue du docteur Maurice Grynfogel",31035,Toulouse Cedex 1,,,,,,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
19-144746,Centre hospitalier W. Morey,None,,Cellule marchés,FRC13,4 rue Capitaine Drillien,71321,CHALON SUR SAONE,,(+33) 3-85-91-00-08,,(+33) 3-85-91-01-82,cellule.marches@ch-chalon71.fr,http://www.ch-chalon71.fr,https://marches.e-bourgogne.fr,,,,,False,True,,False,True
19-146516,C.A. de la Riviera Française,None,,Mme Ndeye Fatou SENGHOR,FRL03,16 Rue Villarey,06500,Menton,,(+33) 4-92-41-80-44,,,nf.senghor@carf.fr,http://www.riviera-francaise.fr,http://www.achatpublic.com,,,,,False,True,,False,True
19-146694,C.A. de la Riviera Française,None,,Mme Ndeye Fatou SENGHOR,FRL03,16 Rue Villarey,06500,Menton,,(+33) 4-92-41-80-44,,,nf.senghor@carf.fr,http://www.riviera-francaise.fr,http://www.achatpublic.com,,,,,False,True,,False,True
19-148274,Mairie de Domont,None,,,FR,,None,95330 DOMONT,,,,,mp@domont.fr,https://www.ville-domont.fr/,http://www.achatpublic.com/,,,,,False,True,,False,True
19-148711,OPPIC,None,Madame la Présidente de l'OPPIC,,,30 rue du château des rentiers CS 61336,75647,Paris,,01-44-97-78-00,,,departement.marches@oppic.fr,http://www.oppic.fr,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
19-149379,RPA DREAL Languedoc-R - Midi-Pyrenées,None,,M. le chef de la Direction Transports,FRJ23,"1, rue de la cité administrative - Bât C - CS 80002",31074,Toulouse Cedex 9,,,,,dt.dreal-occitanie@developpement-durable.gouv.fr,http://www.occitanie.developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
19-151379,C.A. de la Riviera Française,None,,Mme Ndeye Fatou SENGHOR,FRL03,16 Rue Villarey,06500,Menton,,(+33) 4-92-41-80-44,,,nf.senghor@carf.fr,http://www.riviera-francaise.fr,http://www.achatpublic.com,,,,,False,True,,False,True
19-154204,INSERM ADR Paris V Sainte Anne,None,,Julien ROY,FR10,,75014,Paris,,,,,achats.paris5@inserm.fr,http://www.inserm.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,False,True,,False,True
19-154289,Ville de Nanterre,None,Direction des Finances/Achats - Service de la Commande Publique,,,88 à 118 rue du 8 Mai 1945BP 1406,92014,Nanterre cedex,,01-47-29-48-49,,01-47-29-53-99,marches.publics@mairie-nanterre.fr,http://www.nanterre.fr,http://marches.maximilien.fr/?page=entreprise.AccueilEntreprise,,,,,False,False,,False,False
19-155322,SMEPS,None,,Valérie WIBAUX,FR,2 rue de Méru,60175,VILLENEUVE-LES-SABLONS,,(+33) -34-42-20-16,,,smeps@cc-sablons.fr,http://www.cc-sablons.com/index.php?option=com_content&amp;view=article&amp;id=207&amp;Itemid=202,https://www.marches-securises.fr,,,,,False,False,,False,False
19-155503,Grand Besançon Métropole,None,,,FRC21,https://www.marches-securises.fr,25000,Besançon,,,,,voirie@grandbesancon.fr,http://www.marches-securises.fr,,,http://www.marches-securises.fr,http://www.marches-securises.fr,,False,True,,False,True
19-156365,SPL AREC OCCITANIE,8094152430025,,"SPL AREC Occitanie, Stéphane Mas Responsable technique",FRJ,11 avenue Parmentier Central Parc 2 4e étage B.P 22414,31086,Toulouse Cedex 2,,(+33) 5-34-31-97-00,,,stephane.mas@arec-occitanie.fr,http://www.arec-occitanie.fr,http://splmpc.achatpublic.com,,http://splmpc.achatpublic.com,http://splmpc.achatpublic.com,,False,True,,False,True
19-157387,COMMUNE DE PETIT CANAL,None,,,FRY1,"17, rue de l'Eglise",97131,PETIT CANAL,,(+33) 5-90-22-62-04,,,petit-canal.ville@orange.fr,http://petit-canal.fr/,http://www.marches-securises.fr,,,,,False,True,,False,True
19-158134,DIR Sud-Ouest,None,,,FRJ23,155 avenue des arènes romaines,31300,TOULOUSE,,,,,bm.dmo.smee.dirso@developpement-durable.gouv.fr,http://www.enroute.sud-ouest.developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,False,True,,False,True
19-158303,Service de l'Aviation 975,None,Mr le Chef du Service de l'Aviation Civile de Saint-Pierre et Miquelon,,,Aéroport Saint-Pierre Pointe-BlancheBP : 4265,97500,Saint-Pierre et Miquelon,,05-08-41-18-00,,05-08-41-18-18,sacspm@aviation-civile.gouv.fr,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
19-159123,Agglomération Région de Compiègne,None,Service Partagé Commande Publique,,,Place de l'Hôtel de Ville,60321,Compiègne,,,,,service-marches@agglo-compiegne.fr,,https://marches.agglo-compiegne.fr,,,,,False,False,,False,False
19-159830,Ville de Mandelieu La Napoule,21060079700182,,,FRL03,Avenue de la République,06212,Mandelieu-La Napoule,,(+33) 4-92-97-30-00,,(+33) 4-92-97-35-72,marchespublics@mairie-mandelieu.fr,http://www.mandelieu.fr/,http://www.marches-securises.fr,,,,,False,False,,False,False
19-160070,Montpellier Méditerranée Métropole,24340001700022,,"Direction Adjointe, Etudes, Rédaction, Procédures Commande Publique",FRJ13,"Hôtel de ville de Montpellier, 1 place Georges Frêche",34267,Montpellier Cedex 2,,(+33) 4-67-13-60-00,,(+33) 4-99-58-87-70,marches-publics@montpellier3m.fr,http://www.montpellier3m.fr,https://marches.montpellier3m.fr,,https://marches.montpellier3m.fr,https://marches.montpellier3m.fr,,False,True,,False,True
19-160796,Université d'Aix-Marseille,13001533200013,,Direction de la Commande Publique - Pôle des Marchés Publics. Campus Timone,FRL04,58 boulevard Charles Livon,None,Marseille Cedex 7,,,,,danielle.henrio@univ-amu.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=530040&amp;orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=530040&amp;orgAcronyme=f2h,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=530040&amp;orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=530040&amp;orgAcronyme=f2h,,False,True,,False,True
19-160960,ADT des Ardennes,None,,,FR,,None,Charleville-Mézières,,,,,rappel@ardennes.com,http://www.ardennes.com,,,,,,False,True,,False,True
19-161138,S.P.L Midi-Pyrénées Construction,None,"SPL MPC (société publique locale), à l'attention de Mme Muriel GUIBERT-BELIERES, mandataire agissant au nom et pour le compte de la Région Occitanie représentée par la Présidente de la Région Occitanie Pyrénées Méditerranée, Madame Carole DELGA,",,,11 avenue Parmentier Central Parc 2 4e étage B.P 22414,31086,Toulouse Cedex 2,,05-62-72-71-14,,05-61-57-23-13,muriel.guibert-belieres@arac-occitanie.fr,http://www.laregion.fr,http://splmpc.achatpublic.com,,,,,False,False,,False,False
19-161308,Communauté d'Agglomération du Sud,None,"Direction de la Commande Publique, à l'attention de M. Le Président,",,,379 rue Hubert Delisle BP 437,97838,Le Tampon Cedex,,02-62-57-97-77,,02-62-57-97-74,juridique@casud.re,,https://casud.achatpublic.com,,,,,False,False,,False,False
19-161557,Mulhouse Alsace Agglomération,None,,,FRF12,,68948,Mulhouse Cedex 9,,,,,marchespublics@mulhouse.fr,http://www.mulhouse-alsace.fr,http://www.alsacemarchespublics.eu,,,,,False,False,,False,False
19-162826,Rouen Habitat,None,,,FR,5 place du Général de Gaulle,76001,Rouen cedex 1,,(+33) 2-35-15-61-61,,,contact@rouenhabitat.fr,http://www.marches-publics.info/accueil.htm,http://www.marches-publics.info/accueil.htm,,,,,False,True,,False,True
19-163278,Centre des monuments nationaux,None,,Pole Commande publique,FR,62 rue saint antoine,75004,Paris,,,,,marches-publics@monuments-nationaux.fr,http://www.monuments-nationaux.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=480893&amp;orgAcronyme=f5j,,,,,False,True,,False,True
