BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
20-2669,2020-01-09 23:00:00,,2020-02-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,322,Signalisation,CF_NIV_SUIV,False,False,37,,"Prestations d'études, de programmations, d'interventions et suivi technique des carrefours à feux y compris ceux du tramway et bus"
20-2669,2020-01-09 23:00:00,,2020-02-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,347,Transport,CF_NIV_SUIV,False,False,37,,"Prestations d'études, de programmations, d'interventions et suivi technique des carrefours à feux y compris ceux du tramway et bus"
20-267,2020-01-01 23:00:00,,2020-01-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,77,,Le présent marché concerne une mission de maîtrise d'oeuvre (architecte ou s'assurant des services d'un architecte) ayant pour objet :1) La construction d'une structure en rempla
20-2670,2020-01-09 23:00:00,,2020-03-08 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,115,Equipements spécialisés,CF_NIV_SUIV,False,False,51,,DSP-AERODROME-PRUNAY
20-2670,2020-01-09 23:00:00,,2020-03-08 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,51,,DSP-AERODROME-PRUNAY
20-2671,2020-01-07 23:00:00,2020-01-27 15:00:00,2020-01-25 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,466,Prestation hotelière,CF_NIV_SUIV,False,True,75,,"Hébérgement, restauration et location de salles pour le personnel des armées participant aux expositions françaises d'armement de 2020"
20-2672,2020-01-10 23:00:00,,2020-02-08 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,196,Maintenance,CF_NIV_SUIV,False,False,50,,Maintenance des automates de laboratoire du centre hospitalier Avranches-Granville
20-2673,2020-01-07 23:00:00,2020-02-07 11:00:00,2020-02-06 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,6,Alimentation en eau potable,CF_NIV_SUIV,False,False,57,,TRAVAUX AEP
20-2674,2020-01-07 23:00:00,2020-02-10 11:00:00,2020-02-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,66,Restauration collective,CF_NIV_SUIV,False,False,54,,"Appel à projets relatif à l'occupation et l'exploitation du restaurant 'le relais de la colline "" sur le site de sion"
20-2675,2020-01-07 23:00:00,2020-02-21 15:00:00,2020-02-20 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,475,Véhicules (acquisition),CF_NIV_SUIV,False,False,73,,Acquisition de véhicules divers pour les besoins de la commune de Bourg Saint Maurice
20-2676,2020-01-07 23:00:00,2020-02-10 11:00:00,2020-02-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,113,Equipement sportif,CF_NIV_SUIV,False,False,38,,Construction d'une salle sportive et d'un terrain de tennis sur la commune du Plateau des Petites Roches
20-2676,2020-01-07 23:00:00,2020-02-10 11:00:00,2020-02-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,342,Terrain de sport,CF_NIV_SUIV,False,False,38,,Construction d'une salle sportive et d'un terrain de tennis sur la commune du Plateau des Petites Roches
20-2677,2020-01-07 23:00:00,2020-02-03 11:00:00,2020-02-02 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,87,Démolition,CF_NIV_SUIV,False,False,45,,"Démolition, désamiantage et déplombage dans le cadre de la réhabilitation de l'école élémentaire du Poutyl"
20-2677,2020-01-07 23:00:00,2020-02-03 11:00:00,2020-02-02 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,479,Amiante (désamiantage),CF_NIV_SUIV,False,False,45,,"Démolition, désamiantage et déplombage dans le cadre de la réhabilitation de l'école élémentaire du Poutyl"
20-2678,2020-01-07 23:00:00,2020-02-07 11:00:00,2020-02-06 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,False,73,,Marché de travaux pour la restructuration de l'EHPAD de la résidence du Parc à Cognin (73)
20-2679,2020-01-09 23:00:00,,2020-03-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,358,Végétaux,CF_NIV_SUIV,False,False,85,,"fourniture d'arbres, d'arbustes et de paillage pour une action de reboisement afin de préserver la qualité de l'eau 3 lots"
20-268,2020-01-03 23:00:00,,2020-03-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,404,Déchets non ménagers (prestations),CF_NIV_SUIV,False,False,75,,Transport et traitement des REFIOM et des résidus d'épuration des eaux produits par l'UIOM de Saint-Ouen
20-268,2020-01-03 23:00:00,,2020-03-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,404,Déchets non ménagers (prestations),CF_NIV_SUIV,False,False,93,,Transport et traitement des REFIOM et des résidus d'épuration des eaux produits par l'UIOM de Saint-Ouen
