BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
19-180615,False,False,False,True,False,False,False,
20-23507,False,False,False,False,True,False,False,
20-23509,False,False,False,False,False,True,False,
20-23511,False,False,False,False,False,True,False,
20-23512,False,False,False,False,True,False,False,
20-23513,False,False,False,False,False,False,True,
20-23515,False,False,False,False,False,True,False,
20-23516,False,True,False,False,False,False,False,
20-23517,False,False,False,False,False,False,True,
20-23518,False,False,False,True,False,False,False,
20-23519,False,False,False,False,False,False,True,
20-23522,False,False,False,False,False,False,False,
20-23524,False,False,False,True,False,False,False,
20-23526,False,False,False,False,False,False,True,
20-23527,False,False,False,True,False,False,False,
20-23528,False,True,False,False,False,False,False,
20-23529,False,False,False,False,True,False,False,
20-23530,False,False,False,False,True,False,False,
20-23533,False,False,False,False,True,False,False,
20-23535,False,False,False,False,False,False,False,
20-23536,False,False,False,False,False,False,False,
20-23537,False,False,False,False,True,False,False,
20-23538,False,False,False,False,False,False,True,
20-23545,False,False,False,True,False,False,False,
20-23546,False,False,False,True,False,False,False,
20-23547,False,False,False,False,False,False,True,
20-23548,False,False,True,False,False,False,False,
20-23550,False,False,False,False,False,False,True,
20-23552,False,False,False,False,False,False,True,
20-23553,False,False,False,False,False,True,False,
20-23555,False,False,False,True,False,False,False,
20-23556,False,False,False,False,False,False,True,
20-23561,False,False,False,True,False,False,False,
20-23565,False,True,False,False,False,False,False,
20-23567,False,False,False,False,False,False,True,
20-23570,False,False,False,False,False,False,True,
20-23577,False,False,False,False,True,False,False,
20-23578,False,False,False,True,False,False,False,
20-23579,False,False,False,True,False,False,False,
20-23580,False,False,False,True,False,False,False,
20-23581,False,False,False,False,True,False,False,
20-23582,False,False,False,False,False,False,True,
20-23584,False,False,False,False,True,False,False,
20-23591,False,False,False,False,False,False,False,
20-23593,False,False,False,False,False,False,True,
20-23594,False,False,False,False,True,False,False,
20-23599,False,False,False,False,True,False,False,
20-23600,False,False,False,False,False,False,False,
20-23601,False,False,False,False,True,False,False,
20-23602,False,False,False,False,False,False,False,
20-23606,False,False,False,False,False,False,False,
20-23611,False,False,False,False,False,True,False,
20-23612,False,False,False,False,False,False,True,
20-23613,False,False,False,False,False,False,False,
20-23616,False,False,False,False,True,False,False,
20-23623,False,False,False,False,False,False,True,
19-180701,False,False,False,True,False,False,False,
20-23633,False,False,False,False,False,False,True,
20-23634,False,False,False,False,True,False,False,
20-23638,False,False,False,False,True,False,False,
20-23639,False,False,False,False,True,False,False,
20-23641,False,False,False,False,False,False,True,
20-23644,False,False,False,False,True,False,False,
20-23646,False,False,False,True,False,False,False,
20-23652,False,False,False,False,False,False,False,
20-23661,False,False,False,False,False,False,False,
20-23663,False,True,False,False,False,False,False,
20-23665,False,False,False,True,False,False,False,
20-23669,False,False,False,False,False,False,False,
20-23670,False,False,False,False,False,False,False,
20-23674,False,False,False,False,False,False,True,
20-23675,False,False,False,False,False,False,True,
20-23676,False,False,False,False,False,False,False,
20-23677,False,False,False,False,True,False,False,
20-23679,False,False,False,False,False,True,False,
20-23682,False,True,False,False,False,False,False,
20-23683,False,False,False,False,False,False,False,
20-23686,False,False,False,False,False,True,False,
20-23689,False,False,False,False,False,False,True,
20-23698,False,True,False,False,False,False,False,
20-23705,False,False,False,False,True,False,False,
20-23709,False,False,False,False,False,False,False,
20-23710,False,False,False,False,True,False,False,
20-23711,False,False,False,False,False,False,False,
20-23714,False,False,False,True,False,False,False,
20-23717,False,False,False,False,False,False,True,
20-23718,False,False,False,False,False,False,True,
20-23719,False,False,False,False,True,False,False,
20-23720,False,False,False,False,False,False,True,
20-23722,False,True,False,False,False,False,False,
20-23724,False,False,False,False,False,False,True,
20-23728,False,False,False,False,True,False,False,
20-23729,False,False,False,False,True,False,False,
20-23730,False,False,False,False,True,False,False,
20-23739,False,False,False,False,False,False,False,
20-23740,False,False,False,True,False,False,False,
20-23742,False,False,False,False,False,False,True,
20-23751,False,False,False,False,True,False,False,
20-23753,False,False,False,False,True,False,False,
20-23756,False,False,False,True,False,False,False,
20-23758,False,False,False,False,True,False,False,
20-23759,False,False,False,False,True,False,False,
20-23766,False,False,False,False,True,False,False,
20-23771,False,False,False,False,True,False,False,
20-23774,False,False,True,False,False,False,False,
20-23778,False,False,False,False,False,False,False,
20-23780,False,False,False,False,False,False,True,
20-23838,False,False,False,False,False,False,True,
20-23784,False,False,False,False,False,False,False,
20-23791,False,False,False,False,True,False,False,
20-23795,False,False,False,False,True,False,False,
20-23798,False,False,False,False,False,False,False,
20-23800,False,False,False,False,False,True,False,
20-23801,False,False,False,False,False,False,True,
20-23803,False,False,False,False,True,False,False,
20-23807,False,False,True,False,False,False,False,
20-23814,False,False,False,False,True,False,False,
20-23816,False,False,False,False,False,False,False,
20-23818,False,False,False,False,True,False,False,
20-23820,False,False,False,False,False,False,True,
20-23822,False,False,False,False,False,False,False,
20-23823,False,False,True,False,False,False,False,
20-23824,False,False,False,False,True,False,False,
20-23825,False,False,False,False,True,False,False,
20-23832,False,False,False,False,False,False,False,
20-23834,False,False,False,False,True,False,False,
20-23836,False,False,True,False,False,False,False,
20-23838,False,False,False,False,False,False,True,
20-1219,False,False,False,False,False,True,False,
20-23848,False,True,False,False,False,False,False,
20-23850,False,False,False,False,True,False,False,
20-23851,False,False,False,False,True,False,False,
20-23857,False,False,False,False,True,False,False,
20-23858,False,False,False,False,False,False,False,
20-23859,False,False,False,False,False,False,False,
20-23860,False,False,False,False,False,False,True,
20-23862,False,False,False,False,True,False,False,
20-23865,False,False,False,False,True,False,False,
20-23866,False,False,False,True,False,False,False,
20-23867,False,False,False,False,True,False,False,
20-23868,False,False,False,False,False,False,False,
20-23869,False,False,False,False,False,False,True,
20-23870,False,False,False,False,False,False,True,
20-23871,False,False,False,False,False,False,False,
20-23872,False,False,False,False,False,False,True,
20-23875,False,False,False,False,False,False,True,
20-23876,False,False,True,False,False,False,False,
20-23877,False,False,False,True,False,False,False,
20-23879,False,False,False,False,False,False,True,
20-23884,False,False,False,True,False,False,False,
20-23885,False,False,False,False,True,False,False,
20-23888,False,False,False,True,False,False,False,
20-23890,False,False,False,True,False,False,False,
20-23896,False,False,False,False,False,False,True,
20-23899,False,False,False,False,True,False,False,
20-23900,False,False,False,False,False,True,False,
20-23901,False,False,False,False,False,False,False,
20-23905,False,False,False,False,True,False,False,
20-23907,False,False,False,False,False,False,True,
20-23909,False,False,False,False,True,False,False,
20-23910,False,False,False,False,True,False,False,
20-23911,False,False,False,False,True,False,False,
20-23914,False,False,False,False,True,False,False,
20-23917,False,False,False,False,False,False,False,
20-23918,False,False,False,False,True,False,False,
20-23921,False,False,False,True,False,False,False,
20-23922,False,False,False,False,True,False,False,
20-23928,False,False,False,False,True,False,False,
20-23932,False,False,False,False,False,False,False,
20-23933,False,False,False,False,False,False,False,
20-23934,False,False,False,False,True,False,False,
20-23937,False,False,False,False,True,False,False,
20-23939,False,False,False,False,True,False,False,
20-23946,False,True,False,False,False,False,False,
20-23948,False,False,False,False,False,False,True,
20-23950,False,False,False,False,False,False,True,
19-181556,False,False,False,False,False,False,False,
20-23952,False,True,False,False,False,False,False,
