BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
19-105099,True,False,False,False,False,False,
19-154189,False,False,True,False,False,False,
19-158546,True,False,False,False,False,False,
19-168066,False,False,True,False,False,False,
19-171486,False,False,True,False,False,False,
19-171746,True,False,False,False,False,False,
19-171961,False,False,True,False,False,False,
19-173186,False,False,True,False,False,False,
19-173660,False,False,True,False,False,False,
19-174988,False,False,True,False,False,False,
19-178527,False,False,True,False,False,False,
19-180880,True,False,False,False,False,False,
19-181694,False,False,False,False,False,False,organisme privé gérant un service public
19-185023,True,False,False,False,False,False,
19-186057,False,False,False,False,False,False,Commune
19-186646,False,False,False,False,False,False,EPCI
19-187786,False,False,False,False,True,False,
19-188975,False,False,False,False,False,False,Société d'Economie Mixte
19-190787,False,False,False,False,False,False,Etablissement de Coopération Intercommunale
19-190982,False,False,False,False,False,False,société
19-191721,False,False,False,False,False,False,Organisme de Sécurité Sociale
19-193121,True,False,False,False,False,False,
19-26143,False,False,False,False,False,False,SAEM
19-85031,False,False,False,False,True,False,
19-88018,False,False,True,False,False,False,
19-93547,False,False,False,False,False,False,chu
20-10644,False,False,True,False,False,False,
20-1066,True,False,False,False,False,False,
20-11524,True,False,False,False,False,False,
20-11589,False,False,False,False,True,False,
20-11624,True,False,False,False,False,False,
20-12054,False,False,True,False,False,False,
20-12649,False,False,True,False,False,False,
20-13129,True,False,False,False,False,False,
20-13318,True,False,False,False,False,False,
20-1336,False,False,True,False,False,False,
20-13374,False,False,False,False,True,False,
20-13651,True,False,False,False,False,False,
20-14044,True,False,False,False,False,False,
20-15035,False,False,True,False,False,False,
20-15129,True,False,False,False,False,False,
20-15392,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
20-15583,True,False,False,False,False,False,
20-16067,False,False,False,True,False,False,
20-1636,False,False,True,False,False,False,
20-16483,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
20-16736,False,False,True,False,False,False,
20-16878,False,False,False,True,False,False,
20-17159,False,False,True,False,False,False,
20-1722,True,False,False,False,False,False,
20-17462,False,False,True,False,False,False,
20-17683,False,False,False,False,True,False,
20-17875,False,False,False,False,False,False,Société publique locale
20-17894,False,False,False,False,True,False,
20-1796,False,False,True,False,False,False,
20-18074,False,False,False,False,False,False,Etablissement public territorial
20-18283,False,False,True,False,False,False,
20-18382,False,False,True,False,False,False,
20-18543,True,False,False,False,False,False,
20-18683,False,False,True,False,False,False,
20-18865,False,False,False,False,True,False,
20-19185,False,False,True,False,False,False,
20-19252,False,False,True,False,False,False,
20-19654,False,False,True,False,False,False,
20-19868,False,False,True,False,False,False,
20-20428,False,False,False,False,False,False,Etablissement Public de Santé Mentale
20-20563,True,False,False,False,False,False,
20-20642,False,False,True,False,False,False,
20-20902,False,False,False,False,False,False,etablissement public scientifique culturel et professsionnel
20-21185,False,False,False,False,True,False,
20-22082,False,False,True,False,False,False,
20-22309,False,False,False,True,False,False,
20-22490,True,False,False,False,False,False,
20-22642,False,False,False,False,False,False,Société publique locale
20-22695,True,False,False,False,False,False,
20-22916,False,False,True,False,False,False,
20-23026,False,False,True,False,False,False,
20-23333,False,False,False,False,False,False,Centre Communal d'Action Sociale
20-23347,False,False,True,False,False,False,
20-23422,False,False,False,False,False,False,Commune
20-23453,False,False,True,False,False,False,
20-24169,False,False,True,False,False,False,
20-24177,True,False,False,False,False,False,
20-24327,False,False,True,False,False,False,
20-24408,False,False,True,False,False,False,
20-24494,False,False,True,False,False,False,
20-24571,True,False,False,False,False,False,
20-24581,False,False,True,False,False,False,
20-24615,False,False,True,False,False,False,
20-24649,True,False,False,False,False,False,
20-24734,False,False,False,False,False,False,Etablissement public de santé
20-24765,False,False,False,False,True,False,
20-24797,False,False,False,False,False,False,Collectivité Territoriale
20-248,False,False,False,False,False,False,chu
20-25065,False,False,True,False,False,False,
20-25393,False,False,True,False,False,False,
20-25481,False,False,True,False,False,False,
20-25572,True,False,False,False,False,False,
20-25586,False,False,True,False,False,False,
20-25795,True,False,False,False,False,False,
20-25806,False,False,True,False,False,False,
20-25899,False,False,True,False,False,False,
