BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
20-64610,,2020-06-29 11:00:00,,CF_NIV_SUIV,,4.0,,
20-64611,,2020-06-23 11:00:00,,CF_NIV_SUIV,,4.0,,
20-64612,,2020-06-05 15:30:00,,CF_NIV_SUIV,,12.0,,
20-64614,,2020-07-02 11:00:00,,CF_NIV_SUIV,,,210.0,
20-64617,,2020-06-12 21:00:00,,CF_NIV_SUIV,,,180.0,
20-64619,,2020-06-12 11:00:00,,CF_NIV_SUIV,,,90.0,
20-64620,,2020-07-13 11:00:00,,CF_NIV_SUIV,,,,
20-64622,,2020-06-17 14:00:00,,CF_NIV_SUIV,,,150.0,
20-64623,,2020-06-18 10:00:00,,CF_NIV_SUIV,,,,
20-64624,,2020-07-24 11:00:00,,CF_NIV_SUIV,,,180.0,
20-64625,,2020-06-15 11:00:00,,CF_NIV_SUIV,,,120.0,
20-64627,,2020-06-15 15:00:00,,CF_NIV_SUIV,,,,
20-64629,,2020-06-26 11:00:00,,CF_NIV_SUIV,,,180.0,
20-64630,,2020-06-24 11:30:00,,CF_NIV_SUIV,,6.0,,
20-64631,,2020-06-05 11:00:00,,CF_NIV_SUIV,,4.0,,
20-64632,,2020-06-15 15:00:00,,CF_NIV_SUIV,,,120.0,
20-64633,,2020-06-05 11:00:00,,CF_NIV_SUIV,,5.0,,
20-64634,,2020-06-24 11:00:00,,CF_NIV_SUIV,,4.0,,
20-64635,,2020-06-17 11:00:00,,CF_NIV_SUIV,,,,
20-64636,,2020-06-22 17:00:00,,CF_NIV_SUIV,,3.0,,
20-64637,,2020-06-10 11:00:00,,CF_NIV_SUIV,,3.0,,
20-64639,,2020-05-29 09:00:00,,CF_NIV_SUIV,,,120.0,
20-64640,,2020-06-19 11:00:00,,CF_NIV_SUIV,,,,
20-64641,,2020-06-09 11:00:00,,CF_NIV_SUIV,,,120.0,
20-64642,,2020-06-04 11:00:00,,CF_NIV_SUIV,,,180.0,
20-64643,,2020-06-19 11:00:00,,CF_NIV_SUIV,,6.0,,
20-64644,,2020-06-19 11:00:00,,CF_NIV_SUIV,,4.0,,
20-64645,,2020-06-15 11:00:00,,CF_NIV_SUIV,,,120.0,
20-64656,,2020-06-15 11:00:00,,CF_NIV_SUIV,,,180.0,
20-64657,,2020-06-15 09:00:00,,CF_NIV_SUIV,,3.0,,
20-64658,,2020-06-22 22:55:00,,CF_NIV_SUIV,,,120.0,
20-64659,,2020-06-09 11:00:00,,CF_NIV_SUIV,,,90.0,
20-64661,,2020-06-05 11:00:00,,CF_NIV_SUIV,,,150.0,
20-64662,,2020-06-19 11:00:00,,CF_NIV_SUIV,,,,
20-64663,,2020-06-11 15:00:00,,CF_NIV_SUIV,,6.0,,
20-64666,,2020-06-18 11:00:00,,CF_NIV_SUIV,,4.0,,
20-64667,,2020-07-15 21:00:00,,CF_NIV_SUIV,,4.0,,
20-64668,,2020-06-11 11:00:00,,CF_NIV_SUIV,,,,
