BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
20-76348,False,False,False,False,False,False,Crous de Reims - Etablissement public administratif à compétence géographique limitée
20-76349,False,False,False,True,False,False,
20-76350,True,False,False,False,False,False,
20-76351,False,False,False,False,True,False,
20-76353,False,False,True,False,False,False,
20-76355,False,False,False,False,True,False,
20-76359,False,False,False,False,False,False,Logement social
20-76368,False,False,False,False,False,False,EPCI
20-76373,False,False,False,False,False,False,Etablissement Public de Santé
20-76374,False,False,False,True,False,False,
20-76378,False,False,False,False,False,False,Établissement public
20-76380,False,False,True,False,False,False,
20-76386,False,False,False,True,False,False,
20-76387,False,False,True,False,False,False,
20-76397,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
20-76398,False,False,False,False,False,False,Groupement de collectivités territoriales (syndicat mixte)
20-76400,False,False,False,False,True,False,
20-76401,False,False,False,False,True,False,
20-76404,False,False,True,False,False,False,
20-76408,True,False,False,False,False,False,
20-76409,False,False,True,False,False,False,
20-76410,False,False,False,False,True,False,
20-76412,True,False,False,False,False,False,
20-76414,False,False,False,False,False,False,EPCI
20-76415,False,False,False,False,True,False,
20-76416,True,False,False,False,False,False,
20-76420,False,False,False,False,False,False,Enseignement supérieur et recherche
20-76421,False,False,False,False,True,False,
20-76432,False,False,False,False,True,False,
20-76434,False,False,True,False,False,False,
20-76440,False,False,False,False,False,False,Enseignement supérieur et recherche
20-76441,False,False,False,False,True,False,
20-76443,False,False,False,False,True,False,
20-76444,False,False,False,False,False,False,Syndicat mixte ouvert
20-76449,False,False,False,False,False,False,Université
20-76451,False,False,True,False,False,False,
20-76453,False,False,False,False,True,False,
20-76454,True,False,False,False,False,False,
20-76455,False,False,True,False,False,False,
20-76457,False,False,False,False,True,False,
20-76458,False,False,True,False,False,False,
20-76459,False,False,True,False,False,False,
20-76461,False,False,False,False,False,False,EPCI
20-76462,False,False,False,False,True,False,
20-76464,False,False,False,False,True,False,
20-76470,False,False,False,False,False,False,Collectivité
20-76479,False,False,True,False,False,False,
20-76480,False,False,True,False,False,False,
20-76484,False,False,True,False,False,False,
20-76487,False,False,True,False,False,False,
20-76488,False,False,False,False,False,False,Collectivité territoriale
20-76489,False,False,True,False,False,False,
20-76494,False,False,False,False,False,False,EPCI
20-76495,False,False,True,False,False,False,
20-76496,False,False,True,False,False,False,
20-76497,False,False,False,False,False,False,Ecole d'ingénieurs
20-76500,False,False,True,False,False,False,
20-76503,True,False,False,False,False,False,
20-76504,True,False,False,False,False,False,
20-76507,False,False,False,False,False,False,Autorité publique indépendante à caractère scientifique
20-76509,False,False,True,False,False,False,
20-76514,False,False,False,False,True,False,
20-76516,False,False,False,False,False,False,ETABLISSEMENT D'ENSEIGNEMENT SUPERIEUR CONSULAIRE
20-76517,False,False,False,False,False,False,Santé
20-76518,False,False,False,False,False,False,Protection Sociale
20-76519,False,False,True,False,False,False,
20-76521,False,False,False,False,True,False,
20-76523,False,False,False,False,True,False,
20-76525,False,False,True,False,False,False,
20-76526,False,False,True,False,False,False,
20-76529,False,False,False,False,False,False,Société d'Economie Mixte
20-76531,False,False,False,False,False,False,EPIC
20-76534,False,False,True,False,False,False,
20-76537,False,False,True,False,False,False,
20-76538,False,False,False,False,False,False,EPS
20-76540,False,False,True,False,False,False,
20-76542,False,False,False,False,False,False,Établissement Public de Coopération Intercommunale
20-76549,False,False,True,False,False,False,
20-76550,True,False,False,False,False,False,
20-76557,False,False,True,False,False,False,
20-76558,False,False,True,False,False,False,
20-76561,False,False,True,False,False,False,
20-76568,False,False,False,True,False,False,
20-76570,False,False,True,False,False,False,
20-76574,False,False,True,False,False,False,
20-76578,False,False,True,False,False,False,
20-76580,False,False,False,False,False,False,EPIC
20-76583,False,False,False,False,False,False,Etablissement de santé
20-76584,False,False,False,False,False,False,Office HLM
20-76585,False,False,False,False,True,False,
20-76587,False,False,False,False,True,False,
20-76589,False,False,False,False,True,False,
20-76590,False,False,False,False,False,False,MAIRIE
20-76598,False,False,False,False,False,False,Les personnes morales de droit privé d'intérêt général dont l'activité est financée majoritairement par un pouvoir adjudicateur (article L1211-1 du CMP)
20-76603,False,False,True,False,False,False,
20-76607,False,False,True,False,False,False,
20-76610,False,False,True,False,False,False,
20-76614,True,False,False,False,False,False,
20-76615,False,False,True,False,False,False,
20-76620,False,False,False,False,True,False,
20-76621,False,False,True,False,False,False,
20-76623,False,False,True,False,False,False,
20-76624,False,False,False,False,False,False,SYNDICAT MIXTE
20-76630,False,False,False,False,True,False,
20-76631,False,False,False,False,True,False,
20-42169,False,False,True,False,False,False,
20-76639,False,False,False,False,True,False,
20-76640,False,False,True,False,False,False,
20-76643,False,False,True,False,False,False,
20-76644,False,False,True,False,False,False,
20-76647,False,False,False,False,False,False,Syndicat intercommunal d'énergie et de e-communication
20-76650,False,False,True,False,False,False,
20-76651,False,False,True,False,False,False,
20-76652,False,False,True,False,False,False,
20-76653,False,False,False,False,False,False,collectivité territoriale
20-76664,False,False,False,False,True,False,
20-76666,True,False,False,False,False,False,
20-76667,False,False,False,False,False,False,Etablissement de santé
20-76668,False,False,False,False,True,False,
20-76670,False,False,False,False,True,False,
20-76674,False,False,False,False,True,False,
20-76677,False,False,True,False,False,False,
20-76680,False,False,True,False,False,False,
20-76686,False,False,True,False,False,False,
