BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
18-59144,,2020-11-20 11:00:00,,CF_NIV_SUIV,,,,
19-106007,,2020-11-16 11:00:00,,CF_NIV_SUIV,,,120.0,
19-125007,,2020-12-04 11:30:00,,CF_NIV_SUIV,,,,
19-170067,,2020-11-09 10:30:00,,CF_NIV_SUIV,,,60.0,
20-100395,,2020-11-04 10:30:00,,CF_NIV_SUIV,,4.0,,
20-100634,,2020-11-20 09:00:00,,CF_NIV_SUIV,,6.0,,
20-100701,,2020-11-06 15:00:00,,CF_NIV_SUIV,,,180.0,
20-100883,,2020-10-27 14:30:00,,CF_NIV_SUIV,,5.0,,
20-101165,,2020-11-03 13:00:00,,CF_NIV_SUIV,,3.0,,
20-101309,2020-12-02 15:00:00,2020-12-03 15:00:00,,CF_NIV_SUIV,,,180.0,
20-101342,,2020-11-27 10:00:00,,CF_NIV_SUIV,,3.0,,
20-101456,,2020-12-08 10:30:00,,CF_NIV_SUIV,,6.0,,
20-101587,,2020-10-27 11:00:00,,CF_NIV_SUIV,,,120.0,
20-101797,,2020-12-07 11:00:00,,CF_NIV_SUIV,,4.0,,
20-88719,,2020-07-31 11:00:00,,CF_NIV_SUIV,,,120.0,
20-102749,,2020-11-09 15:00:00,,CF_NIV_SUIV,,7.0,,
20-102883,,2020-11-18 11:00:00,,CF_NIV_SUIV,,3.0,,
20-103209,,2020-11-18 23:00:00,,CF_NIV_SUIV,,,120.0,
20-103985,,2020-11-12 11:00:00,,CF_NIV_SUIV,,,,
20-87939,,2020-07-31 11:00:00,,CF_NIV_SUIV,,,90.0,
20-104398,,2020-11-30 11:00:00,2020-12-17 23:00:00,CF_NIV_SUIV,,,,
20-104478,,2020-12-21 11:00:00,,CF_NIV_SUIV,,9.0,,
20-105133,,2020-11-13 11:00:00,,CF_NIV_SUIV,,4.0,,
20-105315,,2020-11-19 17:00:00,,CF_NIV_SUIV,,,180.0,
20-105853,,2020-11-10 15:00:00,,CF_NIV_SUIV,,4.0,,
20-105940,,2020-11-19 15:00:00,,CF_NIV_SUIV,,6.0,,
20-106142,,2020-11-17 14:30:00,,CF_NIV_SUIV,,5.0,,
20-106257,,2020-10-22 11:00:00,,CF_NIV_SUIV,,,120.0,
20-106258,,2020-11-16 11:00:00,,CF_NIV_SUIV,,4.0,,
20-106372,,2020-11-09 15:30:00,,CF_NIV_SUIV,,6.0,,
20-106383,,2020-11-13 10:00:00,,CF_NIV_SUIV,,,,
20-106516,,2020-11-06 16:00:00,,CF_NIV_SUIV,,,120.0,
20-106738,,2020-11-16 11:00:00,,CF_NIV_SUIV,,6.0,,
20-106921,,2020-11-19 11:00:00,,CF_NIV_SUIV,,,180.0,
20-107112,,2020-11-02 11:00:00,,CF_NIV_SUIV,,5.0,,
20-107544,,2020-11-03 11:00:00,,CF_NIV_SUIV,,3.0,,
20-107607,,2020-10-30 11:00:00,,CF_NIV_SUIV,,180.0,,
20-108008,,2020-11-03 11:00:00,,CF_NIV_SUIV,,,120.0,
