BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
18-59144,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
19-106007,,,Se reporter au règlement de la consultation,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
19-125007,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-170067,néant,paiement mandat administratif sous 30 jours -,se référer à l'AE,False,False,,False,True,False,CF_NIV_SUIV,,
20-100395,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-100634,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-100701,"garanties Financières : Une retenue de garantie de 5,0 % du montant initial du marché (augmenté le cas échéant du montant des avenants) sera constituée. Cette retenue de garantie sera prélevée sur le montant de chaque acompte par le comptable assignataire des paiements. Cette retenue de garantie peut être remplacée au gré du titulaire par une garantie à première demande. En revanche, il ne sera pas accepté de caution personnelle et solidaire.Garanties financières de l'avance : Le titulaire, sauf s'il s'agit d'un organisme public, doit justifier de la constitution d'une garantie à première demande à concurrence de 100,0 % du montant de l'avance. La caution personnelle et solidaire n'est pas autorisée.","Caractéristique des prix : prix forfaitaires et unitaires. Modalités de variation des prix : prix actualisables. Une avance de 5,000% sera accordée dans les conditions prévues au contrat. Modalités de règlement des comptes : selon les modalités du C.C.A.G.-Travaux. Le délai global de paiement est de 50 jours à compter de la réception de la facture. En cas de retard de paiement, le titulaire a droit au versement d'intérêts moratoires, ainsi qu'à une indemnité forfaitaire pour frais de recouvrement d'un montant de 40 euro(s). Modalités de financements : Financement sur fonds propres (budget hospitalier) selon les règles de la comptabilité publique.","Interdiction de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements ou en qualité de membres de plusieurs groupements.En cas de groupement d'opérateurs économiques, la forme souhaitée par le pouvoir adjudicateur est un groupement conjoint avec mandataire solidaire. Si le groupement attributaire du marché est d'une forme différente, il pourra se voir contraint d'assurer sa transformation pour se conformer au souhait du pouvoir adjudicateur (voir règlement de consultation)",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-100883,"chaque paiement fera l'objet d'une retenue de garantie au taux de 5,00% dans les conditions prévues aux articles R2191-32 à R2191-42 du Code de la commande publique. La retenue de garantie peut être remplacée, au gré du titulaire, par une garantie à première demande, dans les conditions prévues aux articles R2191-36 à R2191-42 du Code de la commande publique. Le remplacement de la retenue de garantie par une caution personnelle et solidaire n'est pas autorisé","le règlement des dépenses s'effectuera par mandat administratif suivi d'un virement, selon les règles de la comptabilité publique et dans les délais réglementaires (délai global de paiement de 30 jours conformément aux dispositions de l'article R2192-10 du Code de la commande publique.). Le financement s'effectuera sur le budget et les ressources propres du Syndicat Mixte pour le Développement de la Vallée de la Vésubie et du Valdeblore",aucune forme de groupement n'est imposée par le pouvoir adjudicateur,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-101165,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-101309,"il n'est pas prévu de retenue de garantie, ni de caution.",origine du financement : Contrat de Plan État Région 2015-2020.Avance possible de 5% portée à 25% lorsque le titulaire ou son sous traitant en paiement direct est une petite ou moyenne entreprise au sens de l'article 7 du décret du 24 décembre 2018.Les prix seront révisables.Les comptes seront réglés mensuellement sous la forme d'acomptes et d'un solde.Le délai global de paiement du règlement des comptes est fixé à 30 jours.,"le marché sera conclu :- soit avec une entreprise unique ;- soit avec des entreprises groupées conjointes ou des entreprises groupées solidaires.Le mandataire du groupement conjoint sera solidaire de chacun des membres du groupement pour ses obligations contractuelles à l'égard de la personne publique, pour l'exécution du marché.Chaque candidat ne pourra remettre, pour la présente consultation, qu'une seule candidature en agissant en qualité soit de candidat individuel, soit de membre d'un groupement.",False,False,,False,True,False,CF_NIV_SUIV,,
20-101342,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-101456,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-101587,,,La forme du groupement est libre,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-101797,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
20-88719,,"Les prestations, objet du présent marché, seront rémunérées selon les modalités suivantes :- Financement : Budget propre du maître d'ouvrage- Paiement à 45 jours à compter de la réception de la situation.","L'offre peut être présentée par un opérateur économique seul ou par un groupement d'opérateurs économiques.Aucune forme de groupement n'est imposée par le maitre d'ouvrage pour la présentation de l'offre.La consultation est ouverte aux équipes de maîtrise d'oeuvre constituées en groupement avec, pour mandataire, un architecte ou une agence d'architectes. Le mandataire sera solidaire des autres cotraitants.Un même architecte ou une agence d'architectes ne pourra être membre de plusieurs groupements.Les Bureaux d'études et économistes sont en revanche autorisés être membres de plusieurs groupements.L'équipe de maîtrise d'oeuvre sera composée :- D'un architecte ;- D'un Maître d'oeuvre tous corps d'état ;- D'un OPC, chargé de relations Locataires (RL).Si l'attributaire désigné est un groupement entre plusieurs opérateurs économiques, le marché sera alors signé avec le mandataire du groupement, mais tous les co-traitants devront fournir les documents administratifs exigés à l'article 8.1 du règlement de consultation, sous peine d'élimination du groupement.En cas de groupement conjoint, le mandataire sera solidaire.",False,False,,False,True,True,CF_NIV_SUIV,,
20-102749,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-102883,"En cas de versement de l'avance prévue par le code de la commande publique, constitution d'une garantie à première demande garantissant le remboursement total de cette avance",- Virement par mandat administratif - Délai maximum de paiement de 30 jours - Financement sur les ressources propres de la collectivité,"En cas de groupement d'opérateurs économiques, celui-ci pourra être, après attribution, solidaire ou conjoint avec solidarité du mandataire",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
20-103209,,- Mode de financement : Fonds propres du Port de Bordeaux.- Mode de paiement : Virement bancaire.- Délai de paiement : 30 jours.,"En cas d'attribution de l'accord-cadre à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution de l'accord-cadre, de chacun des membres du groupement pour ses obligations contractuelles en application de l'article R2142-24 du Code de la commande publique",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-103985,,"Règlement par mandat administratif, délai de paiement de 30 jours.Autofinancement par Eau 17.",,False,False,,False,True,False,CF_NIV_SUIV,,
20-87939,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
20-104398,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-104478,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-105133,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
20-105315,,,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
20-105853,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
