BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
20-139615,Mairie d'Hayange,None,,,FRF33,Place de la Résistance - BP 60517,57701,Hayange,,(+33) 3-82-82-49-15,,(+33) 3-82-82-49-18,marches.publics@ville-hayange.fr,http://www.ville-hayange.fr/,http://ville-hayange.e-marchespublics.com,,,,,False,True,,False,True
20-139616,ONERA - Direction des Achats,None,,,FR10,29 Avenue de la Division Leclerc,92322,Chatillon cedex,,,,,valerie.kouakou@onera.fr,http://www.onera.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=667852&amp;orgAcronyme=s2d,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=667852&amp;orgAcronyme=s2d,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=667852&amp;orgAcronyme=s2d,,False,True,,False,True
20-139617,CA EVREUX PORTES DE NORMANDIE,None, Service Commande Publique,,,"9, rue Voltaire CS 40423",27004,EVREUX CEDEX,,02-32-31-92-91,,02-32-31-92-28,marches@epn-agglo.fr,https://marchespublics.eure.fr,https://marchespublics.eure.fr,,,,,False,False,,False,False
20-139618,VILLE DE LA ROCHE SUR YON,None,,Service Marchés Publics,FRG05,Place du Théâtre,85000,La Roche-sur-Yon,,(+33) 2-51-47-45-72,,(+33) 2-51-24-03-35,melanie.guilbaud@larochesuryon.fr,http://www.larochesuryon.fr,https://www.marches-securises.fr,,,,,False,True,,False,True
20-139619,Communauté d'Agglomération Caux vallée,None,Mme GILARDONI,,,Maison de l'intercommunalitéAllée du câtillon,76170,lillebonne,,02-32-84-40-52,,,contactmp@cauxseine.fr,,http://www.achatpublic.com,,,,,False,False,,False,False
20-139620,Nantes Métropole,None,,,FRG01,2 cours du champ de Mars,44923,Nantes Cedex 9,,,,,laurence.jouneau@nantesmetropole.fr,https://metropole.nantes.fr,https://marchespublics.nantesmetropole.fr,,,,,False,True,,False,True
20-139621,Conseil Départemental de l'Indre,None,"M. DESCOUT Serge, Président du Conseil départemental de l'Indre",,,Place de la victoire et des alliéscs 20639,36020,Châteauroux cédex,,,,,,http://www.indre.fr,http://www.achatpublic.com,,,,,False,False,,False,False
20-139625,Douaisis Agglo,None,,Service Commande publique,FRE11,746 rue Jean Perrin - ZI de Douai Dorignies - BP no 300,59351,Douai,,(+33) 3-27-99-21-47,,(+33) 3-27-99-52-10,marchespublics@douaisis-agglo.com,http://www.douaisis-agglo.com,https://marchespublics596280.fr,,,,,False,True,,False,True
20-139626,UNIVERSITE TOULOUSE II - JEAN JAURES,None,,,FRJ23,,None,Toulouse,,,,,cellule.marches@univ-tlse2.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=667889&amp;orgAcronyme=f2h,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=667889&amp;orgAcronyme=f2h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=667889&amp;orgAcronyme=f2h,,False,True,,False,True
20-139627,INRA ANGERS NANTES,None,"M. Arnaud LAIGLE, Conducteur du projet immobilier",,,"Site d'Angers - 42 rue Georges Morel,",49071,Beaucouzé,,,,,,,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
