BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
15-16844,2020-12-01 23:00:00,2020-12-23 11:00:00,2020-12-22 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,87,Démolition,CF_NIV_SUIV,False,False,85,,"Aménagement de la rue de l'école, de la rue des anciens combattants et du pourtour de la mairie - lot no1 "" démolition, désamiantage et déplombage """
16-94814,2020-12-25 23:00:00,,2021-01-23 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,102,Eclairage public,CF_NIV_SUIV,False,True,83,,"marché public de performance énergétique portant sur les installations d'éclairage public, éclairage sportif, éclairage de mises en valeur, de bornes et d'illuminations festives"
19-132581,2020-12-02 23:00:00,,2021-01-17 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,69,,Mission de maîtrise d'oeuvre des espaces publics - secteur Coeur de Parc à Saint-Fons les Clochettes
19-145725,2020-12-11 23:00:00,,2021-01-09 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,333,Signalétique,CF_NIV_SUIV,False,False,91,,"ETUDE, CONCEPTION, DEVELOPPEMENT, FABRICATION ET POSE DE LA SIGNALETIQUE DIRECTIONNELLE ET INFORMATIONNELLE EXTERIEURE ET INTERIEURE DE L'ECOLE POLYTECHNIQUE"
19-176530,2020-12-13 23:00:00,,2020-12-20 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,203,Matériel électrique,CF_NIV_SUIV,False,False,20B,,"Accord-Cadre relatif à la fourniture de matériel électrique, de plomberie et d'outillage pour l'université de corse - trois lots"
19-176530,2020-12-13 23:00:00,,2020-12-20 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,291,Quincaillerie (articles),CF_NIV_SUIV,False,False,20B,,"Accord-Cadre relatif à la fourniture de matériel électrique, de plomberie et d'outillage pour l'université de corse - trois lots"
19-176530,2020-12-13 23:00:00,,2020-12-20 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,311,Matériel robinetterie,CF_NIV_SUIV,False,False,20B,,"Accord-Cadre relatif à la fourniture de matériel électrique, de plomberie et d'outillage pour l'université de corse - trois lots"
19-70787,2020-12-19 23:00:00,,2021-02-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,79,Chaussures ou articles chaussants,CF_NIV_SUIV,False,False,972,,"fourniture et livraison de vêtements de travail, de chaussures et d'équipements de protections individuelles pour le groupement de commandes cap nord et neuf (09) de ses communes membres."
19-70787,2020-12-19 23:00:00,,2021-02-07 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,150,Habillement,CF_NIV_SUIV,False,False,972,,"fourniture et livraison de vêtements de travail, de chaussures et d'équipements de protections individuelles pour le groupement de commandes cap nord et neuf (09) de ses communes membres."
20-100815,2020-12-15 23:00:00,,2021-01-28 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,30,Bardage,CF_NIV_SUIV,False,False,75,,relocalisation du cnap et d'une partie des réserves du mn à pantin
20-100815,2020-12-15 23:00:00,,2021-01-28 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,30,Bardage,CF_NIV_SUIV,False,False,93,,relocalisation du cnap et d'une partie des réserves du mn à pantin
